Array Length,Selection,Merge
0,20,35
2,60,519
4,144,1194
6,278,1837
8,460,2526
10,694,3247
12,954,4022
14,1284,4908
16,1634,5638
18,2066,6428
20,2512,7181
22,3034,8143
24,3600,8873
26,4218,9680
28,4868,10648
30,5580,11421
32,6324,12155
34,7082,12961
36,7982,13821
38,8876,14511
40,9808,15315
42,10806,16161
44,11830,17189
46,12902,17815
48,14072,18594
50,15228,19365
52,16464,20123
54,17748,21329
56,19070,22122
58,20434,22857
60,21894,23746
62,23316,24501
64,24862,25311
66,26410,26178
68,28080,27102
70,29698,27693
72,31438,28564
74,33114,29347
76,34920,30144
78,36796,31240
80,38748,31854
82,40684,33055
84,42628,33741
86,44674,34701
88,46830,35501
90,48934,36234
92,51076,36898
94,53318,37796
96,55608,38636
98,57982,39499
100,60350,40330
200,240480,83526
500,1500154,217647
1000,5999320,451001
