Array Length,Selection,Merge
0,20,35
1,34,35
2,60,519
3,98,863
4,138,1202
5,204,1471
6,280,1849
7,358,2186
8,464,2524
9,562,2895
10,674,3265
11,812,3664
12,954,4003
13,1108,4407
14,1284,4912
15,1464,5289
16,1652,5673
17,1850,6005
18,2082,6440
19,2300,6790
20,2528,7190
21,2790,7604
22,3044,8165
23,3318,8476
24,3590,8900
25,3900,9294
26,4214,9643
27,4554,10204
28,4848,10629
29,5244,10964
30,5576,11360
31,5940,11778
32,6316,12167
33,6740,12545
34,7120,12946
35,7514,13369
36,7954,13718
37,8414,14172
38,8864,14583
39,9334,14898
40,9770,15341
41,10282,15955
42,10804,16144
43,11328,16675
44,11826,17064
45,12364,17366
46,12918,17736
47,13490,18120
48,14052,18609
49,14618,19029
50,15256,19343
51,15846,19733
52,16448,20181
53,17074,20726
54,17716,21288
55,18414,21690
56,19056,22123
57,19756,22679
58,20472,22852
59,21174,23432
60,21844,23708
61,22604,24088
62,23346,24532
63,24050,24952
64,24806,25345
65,25642,25771
66,26402,26226
67,27224,26640
68,28006,26977
69,28872,27271
70,29714,27684
71,30500,28030
72,31408,28507
73,32224,29067
74,33188,29338
75,34064,29996
76,34956,30210
77,35902,30619
78,36816,31138
79,37752,31682
80,38674,31869
81,39634,32622
82,40674,33001
83,41684,33359
84,42622,33593
85,43664,34293
86,44690,34666
87,45732,35000
88,46716,35462
89,47912,35845
90,48880,36160
91,50010,36724
92,51134,37020
93,52210,37389
94,53382,37791
95,54502,38235
96,55664,38634
97,56878,39111
98,57928,39455
99,59206,39902
100,60374,40440
