Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,90,693
4,136,1032
5,194,1372
6,264,1719
7,346,2064
8,440,2416
9,546,2764
10,664,3119
11,794,3474
12,936,3836
13,1090,4189
14,1256,4549
15,1434,4910
16,1624,5278
17,1826,5590
18,2040,5953
19,2266,6316
20,2504,6686
21,2754,7049
22,3016,7580
23,3290,7950
24,3576,8327
25,3874,8688
26,4184,9056
27,4506,9424
28,4840,9799
29,5186,10168
30,5544,10705
31,5914,11081
32,6296,11464
33,6690,11737
34,7096,12074
35,7514,12445
36,7944,12823
37,8386,13194
38,8840,13572
39,9306,13950
40,9784,14335
41,10274,14706
42,10776,15084
43,11290,15623
44,11816,16008
45,12354,16225
46,12904,16610
47,13466,16995
48,14040,17387
49,14626,17699
50,15224,18075
51,15834,18451
52,16456,18834
53,17090,19210
54,17736,19754
55,18394,20137
56,19064,20527
57,19746,21065
58,20440,21288
59,21146,21833
60,21864,22224
61,22594,22605
62,23336,22993
63,24090,23384
64,24856,23782
65,25634,24014
66,26424,24310
67,27226,24655
68,28040,25007
69,28866,25228
70,29704,25614
71,30554,26000
72,31416,26393
73,32290,26933
74,33176,27158
75,34074,27705
76,34984,27937
77,35906,28323
78,36840,28874
79,37786,29267
80,38744,29667
81,39714,29989
82,40696,30375
83,41690,30761
84,42696,31154
85,43714,31701
86,44744,32094
87,45786,32487
88,46840,32887
89,47906,33273
90,48984,33505
91,50074,34059
92,51176,34298
93,52290,34691
94,53416,35091
95,54554,35491
96,55704,35898
97,56866,36161
98,58040,36488
99,59226,36872
100,60424,37263
