Array Length,Selection,Merge
0,20,35
1,34,35
2,60,523
3,92,863
4,140,1199
5,208,1490
6,270,1839
7,360,2202
8,448,2538
9,560,2910
10,686,3293
11,824,3630
12,960,4016
13,1122,4375
14,1280,4924
15,1452,5273
16,1660,5685
17,1856,6043
18,2060,6436
19,2296,6792
20,2520,7189
21,2786,7574
22,3052,8124
23,3318,8491
24,3602,8944
25,3914,9282
26,4214,9694
27,4536,10147
28,4866,10621
29,5198,10990
30,5564,11377
31,5956,11753
32,6322,12134
33,6696,12601
34,7098,12972
35,7520,13379
36,7964,13786
37,8406,14160
38,8852,14570
39,9334,14869
40,9792,15302
41,10258,15896
42,10774,16061
43,11276,16693
44,11840,17100
45,12350,17364
46,12910,17745
47,13498,18173
48,14028,18554
49,14676,18953
50,15216,19403
51,15846,19716
52,16482,20182
53,17062,20641
54,17756,21290
55,18410,21690
56,19054,22098
57,19760,22636
58,20472,22935
59,21166,23472
60,21888,23681
61,22556,24172
62,23354,24493
63,24134,24918
64,24856,25255
65,25602,25724
66,26454,26155
67,27226,26645
68,28044,26976
69,28822,27285
70,29724,27708
71,30570,28132
72,31388,28486
73,32266,29104
74,33162,29407
75,33986,29956
76,34948,30201
77,35866,30596
78,36774,31194
79,37770,31481
80,38696,32053
81,39678,32597
82,40646,33037
83,41618,33488
84,42658,33696
85,43624,34291
86,44758,34669
87,45642,35153
88,46838,35504
89,47830,35751
90,48944,36202
91,50032,36740
92,51132,36942
93,52236,37437
94,53328,37813
95,54460,38211
96,55604,38676
97,56798,38940
98,57976,39311
99,59026,39897
100,60400,40278
