Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,94,701
4,140,1041
5,200,1400
6,278,1739
7,358,2116
8,456,2461
9,566,2828
10,676,3203
11,798,3582
12,950,3943
13,1122,4321
14,1290,4850
15,1448,5184
16,1636,5605
17,1856,5940
18,2066,6332
19,2282,6730
20,2540,7115
21,2772,7305
22,3052,7872
23,3330,8290
24,3608,8657
25,3920,9029
26,4190,9429
27,4520,9934
28,4862,10392
29,5228,10741
30,5552,11293
31,5962,11677
32,6316,12098
33,6726,12472
34,7116,12858
35,7546,13325
36,7980,13660
37,8416,14063
38,8862,14497
39,9322,14862
40,9798,15222
41,10310,15660
42,10810,15840
43,11318,16474
44,11850,16881
45,12348,17168
46,12876,17515
47,13486,17926
48,14034,18356
49,14648,18698
50,15290,19116
51,15818,19542
52,16484,19939
53,17108,20476
54,17772,21034
55,18390,21457
56,19024,21914
57,19770,22348
58,20468,22637
59,21108,23248
60,21826,23589
61,22600,24097
62,23358,24335
63,24080,24816
64,24834,25262
65,25638,25644
66,26396,26068
67,27192,26480
68,28056,26974
69,28826,27257
70,29700,27591
71,30538,28042
72,31366,28395
73,32260,29043
74,33130,29232
75,34024,29738
76,34914,30114
77,35912,30590
78,36794,31086
79,37762,31462
80,38694,31933
81,39714,32357
82,40670,32741
83,41672,33243
84,42688,33429
85,43648,33983
86,44748,34414
87,45708,34777
88,46828,35188
89,47892,35630
90,48938,35878
91,50004,36568
92,51128,36755
93,52202,37160
94,53304,37495
95,54478,37986
96,55620,38454
97,56808,38838
98,57892,39325
99,59134,39661
100,60318,40093
