Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,92,709
4,140,1045
5,194,1405
6,264,1757
7,340,2107
8,432,2449
9,530,2825
10,644,3193
11,764,3561
12,900,3921
13,1042,4287
14,1200,4645
15,1364,5004
16,1544,5355
17,1730,5747
18,1932,6101
19,2140,6485
20,2364,6861
21,2594,7406
22,2840,7943
23,3092,8319
24,3360,8687
25,3634,9069
26,3924,9443
27,4220,9817
28,4532,10183
29,4850,10558
30,5184,10925
31,5524,11292
32,5880,11651
33,6242,12069
34,6620,12423
35,7004,12793
36,7404,13155
37,7810,13555
38,8232,13947
39,8660,14339
40,9104,14723
41,9554,15284
42,10020,15676
43,10492,16229
44,10980,16613
45,11474,16844
46,11984,17228
47,12500,17612
48,13032,17988
49,13570,18386
50,14124,18720
51,14684,19110
52,15260,19492
53,15842,19882
54,16440,20425
55,17044,20807
56,17664,21181
57,18290,21733
58,18932,21955
59,19580,22499
60,20244,22713
61,20914,23093
62,21600,23465
63,22292,23840
64,23000,24207
65,23714,24649
66,24444,25027
67,25180,25397
68,25932,25759
69,26690,25987
70,27464,26365
71,28244,26743
72,29040,27113
73,29842,27690
74,30660,27937
75,31484,28506
76,32324,28745
77,33170,29153
78,34032,29711
79,34900,30111
80,35784,30503
81,36674,31080
82,37580,31432
83,38492,31840
84,39420,32240
85,40354,32809
86,41304,33209
87,42260,33609
88,43232,34001
89,44210,34409
90,45204,34648
91,46204,35209
92,47220,35440
93,48242,35840
94,49280,36232
95,50324,36624
96,51384,37008
97,52450,37422
98,53532,37772
99,54620,38122
100,55724,38464
